Reference, Value, Footprint, Datasheet
"C6","330uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"Q5","BUZ73","Package_TO_SOT_THT:TO-220-3_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/BUZ11.pdf"
"D6","UF4004","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","http://www.vishay.com/docs/88756/uf5400.pdf"
"C8","2.2nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"C3","2.2uF HV","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"R18","56KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R21","10KR","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R17","1KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R24","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R19","220KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","R_POT 1K","Potentiometer_THT:Potentiometer_ACP_CA9-H2,5_Horizontal","~"
"L1","100uH","Inductor_THT:L_Axial_L6.6mm_D2.7mm_P2.54mm_Vertical_Vishay_IM-2","~"
"U3","NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"Q8","BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R15","2.2KR","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"C5","100pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"R1","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","SW_DPST","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
"Y1","16MHz","Crystal:Resonator-2Pin_W10.0mm_H5.0mm","~"
